Surface Water,WRA/304,Mr N.M Gunda,Sekanawo Farm,NA,NA,NA,"Box 11, Thondwe",NA,NA,NA,Changochi,SL934/1979,5,4/10/1990,4/10/1980,,NWRA, 5.00 ,River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/306,Ndandala Farm,NA,NA,NA,NA,"Box 1, Sengabay",NA,NA,NA,Senabay,SL998/1980,5,4/10/1990,4/10/1980,,NWRA, 3.00 ,Mmanga,," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/308,Rukuru Estate,Graham & Company,NA,NA,NA,"Box 309, Mzuzu",NA,NA,NA,MZUZU,GL2230/1979,5,4/10/1990,4/10/1980,,NWRA, 6.00 ,Borehole,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/309,Kaphulika Estate,NA,NA,NA,NA,Box 197,NA,NA,NA,Kasungu,SL948/1979,5,4/10/1990,4/10/1980,,NWRA, 24.00 ,Kamanda Dambo,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/311A,Ministry of education,Boreholes drilled in different parts,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,4/10/1990,4/10/1980,,NWRA,,,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,WRA/311,Robert Laws Secondary School,NA,NA,NA,NA,"Box 44, Blantyre",NA,NA,NA,Mzimba,GL2256/1979,5,4/10/1990,4/10/1980,,NWRA, 33.00 ,Borehole,Domestic, -   ,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/311,Robert Laws Secondary School,NA,NA,NA,NA,"Box 44, Blantyre",NA,NA,NA,Mzimba,GL11/1982,5,4/10/1990,4/10/1980,,NWRA, 3.00 ,Borehole,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/311,Robert Laws Secondary School,NA,NA,NA,NA,"Box 44, Blantyre",NA,NA,NA,Mzimba,GL12/1982,5,4/10/1990,4/10/1980,,NWRA, 5.00 ,Borehole,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/311,Robert Laws Secondary School,NA,NA,NA,NA,"Box 44, Blantyre",NA,NA,NA,Mzimba,SL2/1985,5,4/10/1990,4/10/1980,,NWRA, 6.00 ,Lake Malawi,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/311,Robert Laws Secondary School,NA,NA,NA,NA,"Box 44, Blantyre",NA,NA,NA,Mzimba,SL3/1985,5,4/10/1990,4/10/1980,,NWRA, 7.00 ,Lake Malawi,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/312,Mr F.C.M Banda,Dalisto Estate,NA,NA,NA,"Box 670, Lilongwe",NA,NA,NA,Lilongwe,GL2260/1979,5,4/10/1990,4/10/1980,,NWRA, 330.00 ,Borehole,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/313,Mr P.W Machado,Pawema Estate Ltd,NA,NA,NA,"Box 37, MonkeyBay",NA,NA,NA,MonkeyBay,SL 974/1979,5,4/10/1990,4/10/1980,,NWRA," 5,000.00 ",Lake malawi,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/314,Chipimpha Estate,NA,NA,NA,NA,"Box 74, Rumphi",NA,NA,NA,Rumphi,SL964/1979,5,4/10/1990,4/10/1980,,NWRA," 1,000.00 ",Chesuma Stream,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/315,Chiendausiku,Kapalizike Estate,NA,NA,NA,"Box 10, Ntcheu",NA,NA,NA,Tcheu,SL976/1979,5,4/10/1990,4/10/1980,,NWRA, 11.82 ,River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/319,Katuli Estate Ltd,Tobacco Farm,NA,NA,NA,"Box 24, Namwera",NA,NA,NA,Mangochi,SL 994/1980,5,4/10/1990,4/10/1980,,NWRA," 2,400.00 ",Namasawi River,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/319,Katuli Estate Ltd,Tobacco Farm,NA,NA,NA,"Box 24, Namwera",NA,NA,NA,Mangochi,SL 2269/1980,5,4/10/1990,4/10/1980,,NWRA," 2,400.00 ",Namasawi River,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/320,Encor Products,Plot NY16,NA,NA,NA,"Box 425, Blantyre",NA,NA,NA,Blantyre,GL2266/1980,5,4/10/1990,4/10/1980,,NWRA, 58.00 ,Borehole,Industrial," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/322,Mseu Estate,A. Scordis Ltd,NA,NA,NA,"Box 21, Namwera",NA,NA,NA,Mangochi,SL/956/1979,5,4/10/2009,4/10/1999,,NWRA, 686.00 ,River,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/328,Kalema Estates,NA,NA,NA,NA,"Box 48, Mbalachanda",NA,NA,NA,Lilongwe,GL1005/1980,5,4/10/2007,4/10/1997,,NWRA, 36.70 ,Borehole,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/328,Kalema Estates,NA,NA,NA,NA,"Box 48, Mbalachanda",NA,NA,NA,Lilongwe,GL2250/1979,5,4/10/2007,4/10/1997,,NWRA, 36.70 ,Borehole,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/329,Mr L.W Chakhame,Mavuto Estate,NA,NA,NA,,,NA,NA,NA,GL 2239/1979,5,4/10/2007,4/10/1997,,NWRA," 4,080.00 ",Borehole,Irigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/329,Mr L.W Chakhame,Mavuto Estate,NA,NA,NA,NA,NA,NA,NA,NA,GL 2238/1979,5,4/10/2007,4/10/1997,,NWRA," 1,908.00 ",Borehole,irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/330,Mr G.D Chimungu,Kakuluwa estate,NA,NA,NA,Box 321,NA,NA,NA,Kasungu,GL2272/1980,5,10/3/1989,10/3/1979,,NWRA," 26,000.00 ",Borehole,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/332,Alliance 1,,,,,,,NA,NA,Lilongwe,SL954/1979,5,10/3/1989,10/3/1979,,NWRA, 136.40 ,Likangala River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/332,Alliance 1,Kacgulu Estate,NA,NA,NA,"Box 30522,Lilongwe",NA,NA,NA,Lilongwe,GL2282/1981,5,10/3/1989,10/3/1979,,NWRA, 8.20 ,Borehole,Irrigation and Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/333,Mr J.A Siyani,Namatunu Estates,NA,NA,NA,"Box 9, Phalomba",NA,NA,NA,Phalombe,SL969/1979,5,10/3/1989,10/3/1979,,NWRA," 1,500.00 ",Luwelele River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/334,Town William Hara,Kalimila Estate,NA,NA,NA,"Box 30555, Chichiri",NA,NA,NA,Blantyre,GL966/1979,5,10/3/1989,10/3/1979,,NWRA," 32,000.00 ",Borehole,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/335,Chigonamkango Estates,NA,NA,NA,NA,"Box 5763, Limbe",NA,NA,NA,Limbe,SL967/1979,5,10/3/1989,10/3/1979,,NWRA, 8.00 ,River,"Irrigation, Domestic, industrial"," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/335,Chigonamkango Estates,NA,NA,NA,NA,"Box 5763, Limbe",NA,NA,NA,Limbe,GL2242/1979,5,10/3/1989,10/3/1979,,NWRA, 8.00 ,Borehole,"Irrigation,Domestic,Industrial"," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/336,Ntchera Farm II,NA,NA,NA,NA,BOX 1411,NA,NA,NA,Blantyre,GL2243/1979,5,10/3/1989,10/3/1979,,NWRA, 60.30 ,Borehole,"Domestic, Irrigation"," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/336,Ntchera Farm II,NA,NA,NA,NA,Box 1411,NA,NA,NA,Blantyre,SL968/1979,5,10/3/1989,10/3/1979,,NWRA, 150.00 ,River,"Domestic,Irrigation,Industrial"," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/338,Dwangwa Cane Growers Farmers Trust,NA,NA,NA,NA,"Box 156, Dwangwa",NA,NA,NA,Dwangwa,GL6/1982,5,10/3/1989,10/3/1979,,NWRA, 68.19 ,Borehole,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/338,Dwangwa Cane Growers Farmers Trust,NA,NA,NA,NA,"Box 156, Dwangwa",NA,NA,NA,Dwangwa,GL5/1982,5,10/3/1989,10/3/1979,,NWRA, 2.73 ,Borehole,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/338,Dwangwa Cane Growers Farmers Trust,NA,NA,NA,NA,"Box 156, Dwangwa",NA,NA,NA,Dwangwa,GL2253/1979,5,10/3/1989,10/3/1979,,NWRA, 68.10 ,Borehole,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/338,Dwangwa Cane Growers Farmers Trust,NA,NA,NA,NA,"Box 156, Dwangwa",NA,NA,NA,Dwangwa,SL53/2009,5,10/3/1989,10/3/1979,,NWRA," 12,480.00 ",Lake Malawi,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/338,Dwangwa Cane Growers Farmers Trust,NA,NA,NA,NA,"Box 156, Dwangwa",NA,NA,NA,Dwangwa,SL52/2009,5,10/3/1989,10/3/1979,,NWRA," 15,000.00 ",Dwangwa River,Irrigation," 66,050.40 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/339,Mr A.S Nkuwata,"Mphika Farm, Bwanje Trading Centre",NA,NA,NA,PA Bwanje,NA,NA,NA,Ntcheu,SL970/1979,5,10/3/1989,10/3/1979,,NWRA, NA ,NA,Irrigation," 79,387.50 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/340,Mwambiya Estate LTD,Blantyre,Harry Kanyowile,NA,NA,"C/o Peat Marwick Mitchell and Company, Box 30453, Lilongwe","Bwanje, Ntcheu",NA,NA,Ntcheu,S 978/79,5,29/10/1985,29/10/80,,NWRA,4.55,Bwanje River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/342,Mr A.A Kalinga,Sangwani Estate,NA,NA,NA,"Box 238, Kasung",Kasungu,NA,NA,Kasungu,GL2257/1979,5,10/3/1989,10/3/1979,,NWRA," 6,000.00 ",Borehole,"Domestic,Irrigation"," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/343,Mr D.S.E Mvula,Tchoneya Estate,NA,NA,NA,Box 173,Kasungu,NA,NA,Kasungu,SL979/1979,5,10/3/1989,10/3/1979,,NWRA," 43,000.00 ",Dwangwa River,"Domestic, Irrigation,Industry"," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/344,T.A Makamo,Mkanika Estate,NA,NA,NA,Box 37,Kasungu,NA,NA,Kasungu,SL983/1979,5,10/3/1989,10/3/1979,,NWRA," 5,120.00 ",Linga Dam,Irrigation," 10,000.00 "," 200,000.00 ", NO , NO , NO , NO , NO , NO , NO , NO , NO , NO 
Surface Water,WRA/347,Mr F.J Kamwana,Khuza Estate,NA,NA,NA,Box 117,Kasungu,NA,NA,Kasungu,SL985/1979,5,10/3/1989,10/3/1979,,NWRA," 2,000.00 ",Dam River,"Domestic, Irrigation"," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/348,Mr Ali Mdala,NthyolaEstate,NA,NA,NA,NA,Namwera,NA,NA,Mangochi,SL993/1980,5,10/3/1989,10/3/1979,,NWRA," 6,000.00 ",Masongali River,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/349,Muonekera Estate,Nankumba Road,NA,NA,NA,"Box 130, Balaka",Balaka,NA,NA,Balaka,SL18/1979,5,10/3/1989,10/3/1979,,NWRA," 1,200.00 ",Muoni River,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/350,Salima Yatch Club,NA,NA,NA,NA,Box 62,Lilongwe,NA,NA,Lilongwe,SL19/1979,5,10/3/1989,10/3/1979,,NWRA," 1,000.00 ",Kamuzu dam,Domestic," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/352,J.A Makda,Namwera,J.Makda,NA,NA,"Box, Namwera",Inspection required,NA,NA,,,5,29/10/1985,29/10/80,,,,,," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,WRA/353,Andrew Lapuken Namathanga,Migowi,Andrew Lapuken Namathanga,NA,NA,"Box 41, Migowi",Phalombe,NA,NA,Phalombe,S 1003/80,5,29/10/1985,29/10/80,,NWRA,48.00,M'namadzi,Irrigation,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/354,Mndingana Estate,Kasungu,Mr J Phiri,NA,NA,"Box 251, Blantyre",Blantyre,NA,NA,Blantyre,S 997/79,5,29/10/1985,29/10/80,,NWRA,2.00,Livwezi River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/355,Fred Henry Nyekanyeka,Ntcheu,Fred Henry Nyekanyeka,NA,NA,"Box 48, Ntcheu",Ntcheu,NA,NA,Ntcheu,S 990/80,5,29/10/1985,29/10/80,,NWRA,2.50,Bwanje River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/356,Chithunzi Farm,Kasungu,Mr. Kakope,NA,NA,Box 196,Kasungu,NA,NA,Kasunga,S 991/80,5,29/10/1985,29/10/80,,NWRA,5.12,Chimphoyo Dam,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/357,Ndasoloka Estate,Namwera,"W.A Khungwa, ",NA,NA,Box Limbe,Namwera,NA,NA,Mangochi,S 992/80,5,29/10/1985,29/10/80,,NWRA,56.78,Mbawasi Stream,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/358,Kasangani Estate ,Kafukule,Willitone F.B Nyirongo,NA,NA,P.A Mpherembe ,Mpherembe,NA,NA,Rumphi,S 999/80,5,29/10/1985,29/10/80,,NWRA,531.80,S.Rukulu,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/359,"The Commander , Malawi Army H.Q. Kamuzu Barracks",Lilongwe,V.P. Malikebu,NA,NA,"Malawi Defence Force, P/Bag 43, Lilongwe 3",Lilongwe,NA,NA,Lilongwe,S 1002/1980,5,29/10/1985,29/10/80,,NWRA,50.00,Lilongwe River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/359,"The Commander , Malawi Army H.Q. Kamuzu Barracks",Lilongwe,V.P. Malikebu,NA,NA,"Malawi Defence Force, P/Bag 43, Lilongwe 3",Lilongwe,NA,NA,Lilongwe,G.1065/71,5,22/11/1976,23/11/1971,,NWRA,18.00,Borehole,Domestic & Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/359,"The Commander , Malawi Army H.Q. Kamuzu Barracks",Lilongwe,V.P. Malikebu,NA,NA,"Malawi Defence Force, P/Bag 43, Lilongwe 3",Lilongwe,NA,NA,Lilongwe,G.1065/71,5,22/11/1976,23/11/1971,,NWRA,18.00,Borehole,Domestic & Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/360,ARET ,Lilongwe,Mr J. Kaipa,NA,NA,"P/Bag 9, Lilongwe",Mpherembe,NA,NA,Mzimba,G 2271/80,5,30/8/1984,9/1/1979,,NWRA,125.50,Borehole,Domestic & Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/360,ARET ,Lilongwe,Mr J. Kaipa,NA,NA,"P/Bag 9, Lilongwe",Mpherembe,NA,NA,Mzimba,G 51/2011,5,22/11/2014,23/11/2009,,NWRA,18.00,Borehole,Irrigation," 20,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/361,Alinafe Estate ,Mchinji,Mr P. Jimu,NA,NA,"Box 38, Mchinji",Mchinji,NA,NA,Mchinji,S 1001/80,5,30/8/1984,9/1/1979,,NWRA,NA,NA,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/361,Alinafe Estate ,Mchinji,Mr P. Jimu,NA,NA,"Box 38, Mchinji",Mchinji,NA,NA,Mchinji,G 2273/80,5,30/8/1984,9/1/1979,,NWRA,NA,NA,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/362,Khama Farm,Lizuzu Trading Centre,Mr. T. B Chakhumbira,NA,NA,"Box 22, Lizuzu, Ntcheu","Lizuzu, Ntcheu",NA,NA,Ntcheu,S 1017/80,5,24/8/1987,25/8/1982,,NWRA,9.09,NA,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/363,Thyolo Farm,Nsipe Trading Centre,Mr.E.J. Kamwendo,NA,NA,"Box 20, Ntcheu",Nsipe,NA,NA,Ntcheu,S 1008/80,5,30/8/1984,9/1/1979,,NWRA,1.50,Bwanje River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/365,Changulungunda Estate ,Rumphi,Mr A.K. Kumwenda,NA,NA,"Box 61, Rumphi",Rumphi,NA,NA,Rumphi,S 1023/80,5,30/8/1984,9/1/1979,,NWRA,NA,NA,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/367,Lirangwe Estate,Namwera,Omar Maunde,NA,NA,"Box 31, Namwera",Namwera,NA,NA,Mangochi,S 1021/81,5,24/8/1986,25/8/1981,,NWRA,NA,Bwasi Stream,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/368,Dungulungu Estate,Ekwendeni,Mr.C.M.P. Mwamlima,NA,NA,"Box 60, Ekwendeni",Ekwendeni,NA,NA,Mzimba,S 1035/80,5,24/8/1987,25/8/1982,,NWRA,NA,NA,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/370,Naminga Estate,Salima,Mr Elwin Marshall Mponda,NA,NA,"Box 111, Salima","Salima, Chimoga, TA: Ndindi",NA,NA,Salima,S 1047/81,5,24/8/1986,25/8/1981,,NWRA,NA,Dam on confluence of Mtseche and Ntogola Stream,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/370,Naminga Estate,Salima,Mr Elwin Marshall Mponda,NA,NA,"Box 111, Salima","Salima, Chimoga, TA: Ndindi",NA,NA,Salima,S 1047/81,5,24/8/1986,25/8/1981,,NWRA,NA,Dam on confluence of Mtseche and Ntogola Stream,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/371,"M.E.C.Yiannakis LTD, Mandimba Estate",Mandimba Estate LTD,E.C. Yiannakis,NA,NA,Box 261,Mandimba,NA,NA,Mangochi,S 1044/81,5,24/8/1986,25/8/1981,,NWRA,1136.36,Mandimba River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/371,"M.E.C.Yiannakis LTD, Mandimba Estate",Mandimba Estate LTD,E.C. Yiannakis,NA,NA,Box 261,Mandimba,NA,NA,Mangochi,S 1045/81,5,24/8/1986,25/8/1981,,NWRA,2460.00,Lisangwisi River,Irrigation," 12,090.63 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/372,CBM Farm Services LTD,Blantyre,Mr J.R. Ngwiri,NA,NA,"Box 1669, Blantyre","Bemvu Estate, Ntcheu",NA,NA,Ntcheu,S 1054/81,5,24/8/1986,25/8/1981,,NWRA,9.48,Rivi-Rivi River,Irrigation," 26,173.79 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/372,CBM Farm Services LTD,Blantyre,Mr Kachale,NA,NA,"Box 4, Euthini",Sithembile Estate,NA,NA,Mzimba,S 1053/81,5,24/8/1986,25/8/1981,,NWRA,NA,Chamadzi Dambo,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/372,CBM Farm Services LTD,Blantyre,NA,NA,NA,"Box 1669, Blantyre","Namasawe Estate, Mangochi",NA,NA,Mangochi,S 1056/81,5,24/8/1986,25/8/1981,,NWRA,NA,NA,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/372,CBM Farm Services LTD,Blantyre,NA,NA,NA,"Box 1669, Blantyre","Chiunjiza Estate, Mangochi",NA,NA,Mangochi,S 1057/81,5,24/8/1986,25/8/1981,,NWRA,NA,Unnamed Stream,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/372,CBM Farm Services LTD,Blantyre,NA,NA,NA,"Box 1669, Blantyre","Tinyade Estate, Phalombe",NA,NA,Phalombe,S 1055/81,5,24/8/1986,25/8/1981,,NWRA,NA,Likulezi River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/373,Mwanje Estate,Namitete,Mr Ashani Alexander,NA,NA,"Box 23, Namitete",Namitete,NA,NA,Lilongwe,S.1043/81,5,24/8/1986,25/8/1981,,NWRA,10.00,Rusa River,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/375A,Bimbi Irrigation Scheme ,Domasi ,NA,887444593,NA,"C/o 133, Domasi","Bimbi Village, TA Kuntumanje",NA,NA,Zomba,GL 448/2021,5,29/6/2026,30/06/2021,,NWRA,43.00,Borehole,Irrigation," 10,000.00 "," 200,000.00 ",NO,NO,NO,,,,,,,
Surface Water,WRA/375A,Central  Region Water Board,Area 4,Chilimani,999656081,NA,P/Bag 63,Nkhotakota (DD06),NA,NA,Nkhotakota,GL 37/2011,5,22/11/2014,23/11/2009,,NWRA,86.00,Borehole,Public water supply," 10,000.00 ",,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/375A,Central  Region Water Board,Area 4,Chilimani,999656081,NA,P/Bag 61,Dedza,NA,NA,Ntcheu,S 436/1973,5,22/11/2018,23/11/2023,,NWRA,346.00,Mpamadzi River,Public water supply," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/375A,Central  Region Water Board,Area 4,Chilimani,999656081,NA,P/Bag 62,Dedza,NA,NA,Ntcheu,S 327/1976,5,22/11/2018,23/11/2023,,NWRA,45.45,Nkhande Stream,Public water supply," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/375A,Central  Region Water Board,Area 4,Chilimani,999656081,NA,P/Bag 63,Dedza,NA,NA,Kasunga,S 731/1976,5,22/11/2018,23/11/2023,,NWRA,4594.00,Chitete Dam,Public water supply," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/375A,Central  Region Water Board,Area 4,Chilimani,999656081,NA,P/Bag 63,Mponela,NA,NA,Dowa,G 5/2011,5,3/6/2015,3/7/2011,,NWRA,94.00,Borehole,Public water supply," 36,889.82 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/375A,Central  Region Water Board,Area 4,Chilimani,999656081,NA,P/Bag 63,Madisi,NA,NA,Dowa,G 6/2011,5,3/6/2015,3/7/2011,,NWRA,129.00,Borehole,Public water supply," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/375A,Central  Region Water Board,Area 4,Chilimani,999656081,NA,P/Bag 63,Madisi,NA,NA,Dowa,G 7/2011,5,3/6/2015,3/7/2011,,NWRA,40.00,Borehole,Public water supply," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/375A,Central  Region Water Board,Area 4,Chilimani,999656081,NA,P/Bag 63,Madisi,NA,NA,Dowa,G 8/2011,5,3/6/2015,3/7/2011,,NWRA,83.00,Borehole,Public water supply," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,WRA/375A,Central  Region Water Board,Area 4,Chilimani,999656081,NA,P/Bag 63,Madisi,NA,NA,Dowa,G 9/2011,5,3/6/2015,3/7/2011,,NWRA,50.00,Borehole,Public water supply," 10,000.00 "," 200,000.00 ",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
